11,Japan,Shitara,i20,00:14:20.625,2024-07-26 23:03:33.299695
15,Wales,Brenig,i20,00:04:16.945,2024-07-27 00:46:21.810651
31,Finland,Harju,i20,00:01:34.096,2024-08-03 12:03:31.154968
40,New-Zealand,Brooks,i20,00:04:25.061,2024-07-31 22:22:38.030142
25,Monte-Carlo,Col-De-Braus,i20,00:04:40.688,2024-07-27 00:11:23.06764
10,Finland,Ouninpohja,i20,00:04:57.376,2024-08-04 01:05:06.751775
14,Finland,Arvaja,i20,00:04:32.042,2024-08-06 14:19:01.732502
23,Japan,Okazaki,i20,00:04:35.293,2024-08-06 22:23:11.550437
35,Mexico,Media-Luna-R,i20,00:02:56.173,2024-08-08 22:45:29.586489
26,Mexico,Ibarrilla,i20,00:04:50.229,2024-08-19 13:07:51.903619
17,Japan,Shinshiro,i20,00:04:13.69,2024-08-19 14:22:06.365528
18,Monte-Carlo,Luceram,i20,00:03:58.576,2024-08-20 20:56:11.588818
24,Italy,Baranta,i20,00:03:16.548,2024-08-21 19:57:34.276209
39,Italy,Lerno,i20,00:02:33.477,2024-08-21 21:22:02.277974
13,Sweden,Torsby,i20,00:02:57.673,2024-08-25 22:49:23.560977
12,Sweden,Vargasen,i20,00:04:14.405,2024-08-26 00:52:08.848745
29,Japan,Nagakute,i20,00:03:45.867,2024-08-27 17:41:49.811225
28,Finland,Horkka,i20,00:03:23.102,2024-08-27 21:45:29.624422
36,Finland,Pihlajakoski,i20,00:04:14.782,2024-08-27 22:14:08.09564
5,Kenya,Seyabei,i20,00:03:56.166,2024-08-28 23:56:14.445399
6,Kenya,Seyabei,i20,00:03:51.999,2024-08-29 00:00:44.784926
7,Kenya,Seyabei,i20,00:03:44.324,2024-08-29 00:05:18.966649
8,Kenya,Seyabei,i20,00:03:42.37,2024-08-29 00:09:45.307678
1,Kenya,Ngema,i20,00:04:12.46,2024-08-28 23:20:37.845998
2,Kenya,Ngema,i20,00:03:50.556,2024-08-28 23:25:08.548533
3,Kenya,Ngema,i20,00:03:46.53,2024-08-28 23:41:23.133133
4,Kenya,Ngema,i20,00:03:44.988,2024-08-28 23:49:07.543086
49,Kenya,Ngema,i20,00:03:43.928,2024-08-29 23:48:31.01117
27,Monte-Carlo,Agnieres,i20,00:04:37.534,2024-07-27 14:29:19.956845
9,Argentina,El-Condor,i20,00:05:33.071,2024-08-29 13:03:11.443193
41,Argentina,El-Condor,i20,00:05:16.081,2024-08-29 13:23:29.785207
42,Argentina,El-Condor,i20,00:05:07.514,2024-08-29 13:52:34.483921
48,Argentina,El-Condor,i20,00:05:06.609,2024-08-29 23:23:43.157597
43,Argentina,Cuchilla-Nevada,i20,00:04:47.626,2024-08-29 14:22:40.516303
44,Argentina,Cuchilla-Nevada,i20,00:04:41.218,2024-08-29 14:38:42.849888
45,Argentina,Cuchilla-Nevada,i20,00:04:39.729,2024-08-29 22:32:09.643883
46,Argentina,Cuchilla-Nevada,i20,00:04:39.234,2024-08-29 22:37:22.310717
47,Argentina,Cuchilla-Nevada,i20,00:04:32.532,2024-08-29 22:42:29.110451
50,Kenya,Seyabei,i20,00:03:34.666,2024-08-30 00:11:08.539841
51,Kenya,Seyabei,i20,00:03:33.93,2024-08-30 00:17:46.337498
52,Finland,Arvaja,i20,00:04:29.382,2024-08-30 13:08:29.486802
53,Finland,Arvaja,i20,00:04:25.136,2024-08-30 14:18:58.479855
54,Turkey,Marmaris,i20,00:01:51.558,2024-08-30 16:52:02.778349
55,Turkey,Marmaris,i20,00:01:51.447,2024-08-30 17:00:44.428376
56,Turkey,Marmaris,i20,00:01:50.943,2024-08-30 17:04:18.600813
57,Monte-Carlo,Agnieres,i20,00:04:28.248,2024-08-31 23:08:37.295051
58,Monte-Carlo,Agnieres,i20,00:04:24.544,2024-08-31 23:13:56.179547
59,Monte-Carlo,Agnieres,i20,00:04:22.398,2024-08-31 23:30:05.659834
60,Portugal,Fafe,i20,00:03:12.324,2024-08-31 23:30:05.661695
61,Portugal,Fafe,i20,00:03:10.759,2024-08-31 23:55:20.087144
62,Portugal,Fafe,i20,00:03:07.581,2024-08-31 23:58:58.084759
63,Portugal,Fafe,i20,00:03:07.33,2024-09-01 00:36:01.725746
64,Finland,Ouninpohja,i20,00:04:49.245,2024-09-01 13:05:36.186041
65,Finland,Ouninpohja,i20,00:04:45.059,2024-09-01 13:17:27.670421
66,Finland,Ouninpohja,i20,00:04:42.734,2024-09-01 13:42:07.108874
67,Portugal,Fafe,i20,00:03:04.25,2024-09-01 14:20:37.212203
68,Argentina,El-Condor,i20,00:05:00.821,2024-09-01 17:01:48.321382
69,Portugal,Viana-Do-Castelo,i20,00:03:21.763,2024-09-01 17:01:48.323266
70,Portugal,Viana-Do-Castelo,i20,00:03:13.064,2024-09-01 17:41:04.922692
71,Portugal,Viana-Do-Castelo,i20,00:03:11.764,2024-09-01 17:51:36.10694
72,Portugal,Felgueiras,i20,00:06:27.151,2024-09-02 13:03:36.196753
73,Portugal,Felgueiras,i20,00:05:48.248,2024-09-02 13:10:06.971536
74,Portugal,Felgueiras,i20,00:05:34.533,2024-09-02 13:16:08.045689
75,Portugal,Felgueiras,i20,00:05:27.538,2024-09-02 17:18:33.879065
76,Portugal,Felgueiras,i20,00:05:23.957,2024-09-02 20:07:48.891069
77,Portugal,Felgueiras,i20,00:05:22.741,2024-09-02 20:24:00.016411
78,Portugal,Arganil,i20,00:04:56.717,2024-09-09 23:46:39.769145
79,Portugal,Arganil,i20,00:04:41.592,2024-09-10 00:05:18.658579
80,Portugal,Arganil,i20,00:04:40.716,2024-09-10 00:29:19.404613
81,Portugal,Arganil,i20,00:04:37.521,2024-09-10 01:08:14.747779
82,Portugal,Arganil,i20,00:04:31.464,2024-09-11 12:55:53.963718
83,Portugal,Arganil,i20,00:04:31.208,2024-09-11 13:12:20.807088
84,Portugal,Arganil,i20,00:04:30.478,2024-09-11 13:30:24.504426
85,Sweden,Vargasen,i20,00:04:11.048,2024-09-13 18:24:04.735523
86,Sweden,Vargasen,i20,00:04:09.883,2024-09-13 23:47:11.239437
87,Finland,Arvaja,i20,00:04:21.328,2024-09-14 00:04:53.153645
88,Finland,Arvaja,i20,00:04:21.089,2024-09-14 00:12:26.719198
89,Finland,Arvaja,i20,00:04:16.795,2024-09-14 00:43:30.204798
90,Finland,Arvaja,i20,00:04:16.791,2024-09-14 12:37:46.042372
91,Sweden,Torsby,i20,00:02:55.258,2024-09-14 13:41:08.833079
92,Sweden,Torsby,i20,00:02:53.946,2024-09-14 20:12:10.368791
93,Sweden,Torsby,i20,00:02:53.72,2024-09-14 20:29:52.970185
94,Sweden,Torsby,i20,00:02:52.584,2024-09-14 20:33:57.932172
95,Finland,Pihlajakoski,i20,00:04:10.772,2024-09-14 21:02:22.787409
96,Finland,Pihlajakoski,i20,00:04:08.795,2024-09-14 21:23:30.659132
97,Finland,Pihlajakoski,i20,00:04:07.284,2024-09-14 21:41:48.618039
98,New-Zealand,Brooks,i20,00:04:22.277,2024-09-26 19:59:52.035602
99,New-Zealand,Brooks,i20,00:04:16.013,2024-09-26 20:13:16.749373
100,Turkey,Datca,i20,00:05:21.005,2024-09-26 20:20:50.793094
101,Turkey,Datca,i20,00:04:57.545,2024-09-26 20:26:14.79344
102,Turkey,Datca,i20,00:04:52.321,2024-09-26 20:31:39.483438
103,Turkey,Cicekli,i20,00:04:56.746,2024-09-26 20:51:16.970386
104,Turkey,Cicekli,i20,00:04:44.499,2024-09-26 21:01:27.304894
105,Turkey,Datca,i20,00:04:41.957,2024-09-26 23:44:53.001639
106,New-Zealand,Te-Akau-South,i20,00:14:35.898,2024-09-27 00:27:53.479424
107,New-Zealand,Batley,i20,00:04:16.905,2024-09-27 15:21:26.063374
108,New-Zealand,Batley,i20,00:04:10.06,2024-09-27 15:30:29.724796
109,New-Zealand,Batley,i20,00:04:07.952,2024-09-27 15:39:04.091181
110,New-Zealand,Batley,i20,00:04:06.528,2024-09-27 16:46:21.516763
111,New-Zealand,Te-Hutewai,i20,00:05:29.628,2024-09-27 16:55:48.247109
112,New-Zealand,Te-Hutewai,i20,00:05:18.637,2024-09-27 17:03:25.064482
113,Turkey,Datca,i20,00:04:39.422,2024-09-28 20:39:58.636671
114,Turkey,Cicekli,i20,00:04:32.92,2024-09-29 13:25:34.499076
115,Turkey,Cicekli,i20,00:04:32.151,2024-09-29 13:31:10.397794
116,Turkey,Cicekli,i20,00:04:29.781,2024-09-29 16:07:00.880344
117,New-Zealand,Te-Akau-South,i20,00:13:56.333,2024-09-29 16:36:42.901889
